old_customer_id,new_customer_id,old_payment_method_id,new_payment_method_id
CUST-0002,cus_Fsec6CGGAQi9EUk,PM-0002,pm_1Qt4Ybn9nbFhSXxNVMKcgZchB
CUST-0015,cus_hpRmQaAgGMRz3FM,PM-0015,pm_1QtrWELWZ8wzjH4QDoafgJE6W
CUST-0018,cus_eS4NC8qdY20wPAh,PM-0018,pm_1Qt03aiOu37qTxvhyCZQDA2ki
CUST-0025,cus_T80g4DJBLWL12T3,PM-0025,pm_1QtDE3BdOa1GUSn72GQMATDPN
CUST-0029,cus_jZ3Ma5FDEkUturF,PM-0029,pm_1QtIxYeBJfEt8UbzcIZX7N3IO
CUST-0032,cus_CvZY0uVLSwCgOaw,PM-0032,pm_1QtNXHxg3EYUzpmh0nZluUcNP
CUST-0035,cus_h3CKF7aTIAK5W4Q,PM-0035,pm_1QtkYgOLt2zLQpyvsXiL2F0Ht
CUST-0043,cus_TInnSQ5iS8lHNSV,PM-0043,pm_1QtIK6SP3H2AagxddqW8QjdWm
CUST-0048,cus_HwCMPInOyFXRQcx,PM-0048,pm_1QtzWQ7dUm11BnNRwKTmSlB8e
CUST-0051,cus_7Thcrqj0aC6c5LV,PM-0051,pm_1QtM0sWIeRG7GWjHzv2Pus6MD
CUST-0055,cus_IUOhvoN4pc2xXhp,PM-0055,pm_1QtSbGVFFEsOtff8VHMnNnQZm
CUST-0096,cus_Z2TAYeQbScelpeY,PM-0096,pm_1Qt4zBztyhaSdUc0wFrQLr5xY
