subscription_id,customer_id,plan,billing_interval,currency,price_amount_cents,status,created_at,current_period_start,current_period_end,cancel_at_period_end,canceled_at,auto_renew,coupon_code,discounted_periods_remaining,pending_plan_change,pending_plan_effective_at,dunning_stage,failed_payment_attempts,days_past_due,next_retry_at,trial_end
SUB-1001,CUST-0001,founders,monthly,USD,499,active,2006-04-08T09:21:00Z,2025-02-19T15:55:00Z,2025-03-21T15:55:00Z,false,,true,,,,,,,,,
SUB-1002,CUST-0002,founders,monthly,USD,499,active,2008-02-04T18:27:00Z,2025-02-10T16:29:00Z,2025-03-12T16:29:00Z,false,,true,,,,,,,,,
SUB-1003,CUST-0003,founders,monthly,USD,499,active,2006-04-06T14:31:00Z,2025-02-19T17:50:00Z,2025-03-21T17:50:00Z,false,,true,,,,,,,,,
SUB-1004,CUST-0004,founders,monthly,USD,499,active,2010-01-02T17:30:00Z,2025-02-16T17:31:00Z,2025-03-18T17:31:00Z,false,,true,,,,,,,,,
SUB-1005,CUST-0005,founders,monthly,USD,499,active,2010-04-09T14:08:00Z,2025-02-17T14:01:00Z,2025-03-19T14:01:00Z,false,,true,,,,,,,,,
SUB-1006,CUST-0006,founders,monthly,USD,499,active,2009-11-04T10:16:00Z,2025-02-22T08:48:00Z,2025-03-24T08:48:00Z,false,,true,,,,,,,,,
SUB-1007,CUST-0007,founders,monthly,USD,499,active,2012-09-23T14:35:00Z,2025-02-23T16:15:00Z,2025-03-25T16:15:00Z,false,,true,,,,,,,,,
SUB-1008,CUST-0008,founders,monthly,USD,499,active,2008-03-26T20:11:00Z,2025-02-12T19:17:00Z,2025-03-14T19:17:00Z,false,,true,,,,,,,,,
SUB-1009,CUST-0009,basic,monthly,USD,499,active,2022-07-11T12:55:00Z,2025-02-21T16:26:00Z,2025-03-23T16:26:00Z,false,,true,,,,,,,,,
SUB-1010,CUST-0010,pro,monthly,CAD,3999,active,2024-01-17T20:34:00Z,2025-03-10T09:36:00Z,2025-04-09T09:36:00Z,false,,true,,,pro_to_basic,2025-04-09T09:36:00Z,,,,,
SUB-1011,CUST-0011,basic,monthly,CAD,699,active,2023-05-07T14:50:00Z,2025-02-14T09:32:00Z,2025-03-16T09:32:00Z,false,,true,,,,,,,,,
SUB-1012,CUST-0012,pro,monthly,USD,2999,past_due,2024-07-21T17:12:00Z,2025-01-27T12:00:00Z,2025-02-26T12:00:00Z,false,,true,,,,,retry_2,2,11,2025-03-11T12:00:00Z,
SUB-1013,CUST-0013,pro,monthly,USD,2999,active,2024-09-15T10:47:00Z,2025-03-18T18:57:00Z,2025-04-17T18:57:00Z,false,,true,,,pro_to_basic,2025-04-17T18:57:00Z,,,,,
SUB-1014,CUST-0014,pro,monthly,USD,2999,active,2024-01-07T14:24:00Z,2025-02-23T17:03:00Z,2025-03-25T17:03:00Z,false,,true,,,,,,,,,
SUB-1015,CUST-0015,basic,monthly,CAD,699,canceled,2024-11-02T12:13:00Z,2024-12-09T12:13:00Z,2025-01-08T12:13:00Z,false,2025-01-01T12:13:00Z,false,,,,,,,,,
